Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
TLR2,2303.239479,1.886999496,0.333343512,5.66082562,1.51E-08,8.05E-07
GLDC,26.05648863,-3.177773639,0.561507287,-5.659363131,1.52E-08,8.10E-07
ERH,553.1996505,1.301036582,0.230079898,5.654716443,1.56E-08,8.30E-07
KRT5,349.8709014,5.108988193,0.904056043,5.651185273,1.59E-08,8.46E-07
SNORA74A,59.29262766,1.991007289,0.352373367,5.650277443,1.60E-08,8.48E-07
CTBP1-DT,312.3736216,-1.152422452,0.204638765,-5.631496334,1.79E-08,9.40E-07
RPS19P7,27.33118574,2.016593071,0.358511287,5.624908182,1.86E-08,9.74E-07
SEMA5B,79.44844432,-3.166606836,0.563048827,-5.624035933,1.87E-08,9.77E-07
KIAA1257,86.58416623,-1.450348226,0.257960848,-5.622357955,1.88E-08,9.85E-07
NRK,141.047957,2.437025599,0.433530997,5.621341069,1.89E-08,9.88E-07
MTND4LP5,45.37459974,2.810758997,0.500331821,5.617789798,1.93E-08,1.01E-06
MTHFD2,790.1470924,1.603973099,0.285631504,5.615532876,1.96E-08,1.02E-06
PSAT1,124.127879,3.764156271,0.670348289,5.615224699,1.96E-08,1.02E-06
SET,3335.944132,1.239774978,0.220826984,5.614236802,1.97E-08,1.02E-06
MGAM2,191.4782889,3.006776588,0.535748724,5.612288847,2.00E-08,1.03E-06
TMEFF2,145.1357248,-2.548527191,0.454189368,-5.611155539,2.01E-08,1.03E-06
SYDE2,1127.678563,-1.893191526,0.337417853,-5.61082204,2.01E-08,1.03E-06
ALS2CL,161.0172071,-2.12650653,0.379762715,-5.599566373,2.15E-08,1.10E-06
PLEKHG6,27.68815581,-3.702697206,0.661308934,-5.599043072,2.16E-08,1.10E-06
DM1-AS,11.50056424,-2.602847404,0.465001738,-5.597500379,2.17E-08,1.11E-06
SLC22A24,26.84322376,-4.212827665,0.752911374,-5.595383218,2.20E-08,1.12E-06
SYNE1,14913.04411,-1.254340234,0.224298175,-5.592289075,2.24E-08,1.14E-06
ATOH8,263.5658001,-2.6687494,0.477736173,-5.586241006,2.32E-08,1.18E-06
VDAC1,1575.444301,1.211488156,0.217067592,5.581156295,2.39E-08,1.21E-06
GSTM5,117.2063167,-2.609060009,0.467724221,-5.578201622,2.43E-08,1.23E-06
NKD1,1418.12109,-2.262357252,0.405763292,-5.575559189,2.47E-08,1.24E-06
