Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ABHD11-AS1,8.008939146,-4.204092316,0.815698925,-5.153975551,2.55E-07,1.21E-05
MT-ND3,105257.3869,1.843940719,0.357982517,5.150923945,2.59E-07,1.22E-05
GASAL1,7.795778407,-3.718791188,0.721995902,-5.150709548,2.60E-07,1.22E-05
SUB1P4,5.550075731,-3.337492142,0.64798313,-5.150584929,2.60E-07,1.22E-05
ADAM29,8.959079029,-6.300108147,1.224211637,-5.14625736,2.66E-07,1.25E-05
GOLGA8VP,3.529736663,-4.278928607,0.831871968,-5.143734579,2.69E-07,1.26E-05
SIRPG-AS1,10.79193313,-4.163395581,0.810372127,-5.137634232,2.78E-07,1.30E-05
RPAP1,102.4281619,-1.683479871,0.327970931,-5.13301549,2.85E-07,1.32E-05
YBX3,5011.405312,1.794829394,0.349712599,5.132298352,2.86E-07,1.32E-05
RBIS,907.7432701,1.300855372,0.253477751,5.132029794,2.87E-07,1.32E-05
LINC02352,152.7826439,-2.396674662,0.467311668,-5.128642891,2.92E-07,1.35E-05
CYP2E1,21.58069477,-2.276475798,0.444129918,-5.125697917,2.96E-07,1.36E-05
HIPK3,7750.602194,1.151504487,0.224704527,5.124527308,2.98E-07,1.37E-05
MTND2P31,85.18857979,2.603676556,0.508295507,5.122367839,3.02E-07,1.38E-05
RNU1-151P,5.748768454,6.348614846,1.23966957,5.121215361,3.04E-07,1.39E-05
BMT2,571.3873917,1.184487152,0.231321349,5.120526741,3.05E-07,1.39E-05
C1orf35,65.76906925,-1.554350112,0.303619699,-5.119398115,3.07E-07,1.40E-05
CCDC24,21.28337281,-3.39276862,0.662980919,-5.11744535,3.10E-07,1.41E-05
TACC3,144.828311,-2.196859482,0.429534498,-5.114512319,3.15E-07,1.42E-05
LINC02717,5.817223276,-4.9903503,0.975757389,-5.114335137,3.15E-07,1.42E-05
LINC02068,4.618601911,-4.67419201,0.91399419,-5.114028145,3.15E-07,1.42E-05
MTND5P11,883.6441426,2.874920697,0.562273714,5.113027031,3.17E-07,1.43E-05
OSTM1,1086.354541,1.184439444,0.231880941,5.107963763,3.26E-07,1.47E-05
PUF60,81.02427915,-1.833925569,0.359089622,-5.107152803,3.27E-07,1.47E-05
GALNT15,679.9652274,3.24814505,0.636035929,5.106857806,3.28E-07,1.47E-05
COPS2,3319.093953,1.244472829,0.243689861,5.10678952,3.28E-07,1.47E-05
POLR2K,710.6772904,1.045387166,0.204819612,5.103940749,3.33E-07,1.49E-05
MIR762HG,11.57502181,-2.617774621,0.513122884,-5.101652456,3.37E-07,1.50E-05
ACSL4,2732.489294,1.54341995,0.30267259,5.099305322,3.41E-07,1.52E-05
RPL7P60,4.757469121,-4.704677245,0.923230029,-5.095888456,3.47E-07,1.54E-05
SARS2,22.70426633,-2.877038001,0.564633467,-5.095408201,3.48E-07,1.54E-05
MRM1,9.389644815,-3.180724324,0.62469161,-5.091671274,3.55E-07,1.57E-05
IGHG3,220.0798514,-3.955430519,0.777259386,-5.088945323,3.60E-07,1.59E-05
SH3BGRL,8911.374883,1.134934913,0.223372984,5.080896059,3.76E-07,1.66E-05
HR,56.4150033,-3.459146816,0.681033327,-5.079262173,3.79E-07,1.67E-05
PLD2,61.20102517,-1.942262973,0.382497775,-5.077841231,3.82E-07,1.68E-05
MISP3,19.85738539,-2.767101698,0.544989053,-5.07735281,3.83E-07,1.68E-05
LINC-PINT,1961.341126,1.071746573,0.211098181,5.077005247,3.83E-07,1.68E-05
DEPP1,798.5816448,2.236847613,0.440815005,5.074345443,3.89E-07,1.70E-05
KCNJ9,13.2592605,-3.51709721,0.693217181,-5.073586323,3.90E-07,1.70E-05
ELK3,2209.508386,1.250078131,0.246450115,5.072337381,3.93E-07,1.71E-05
MTRNR2L13,63.92115672,3.436674385,0.678156695,5.067670072,4.03E-07,1.75E-05
RNU6-1050P,6.039889593,-5.069369163,1.00042307,-5.067225374,4.04E-07,1.75E-05
LENG9,3.595101307,-4.294375583,0.848343927,-5.062069107,4.15E-07,1.80E-05
GPR52,41.4674129,-2.144550816,0.424086644,-5.056869498,4.26E-07,1.84E-05
FZD3,1130.874598,1.789661632,0.353936383,5.056450027,4.27E-07,1.84E-05
ITGB7,13.97055348,-3.77231445,0.746439241,-5.05374616,4.33E-07,1.86E-05
RNU2-33P,5.454368247,-3.720259153,0.736402792,-5.051935154,4.37E-07,1.87E-05
LINC01531,10.82985421,-2.926867885,0.580011491,-5.046223966,4.51E-07,1.93E-05
SDHA,334.437302,-1.838509449,0.364519361,-5.043653764,4.57E-07,1.95E-05
SIRT6,80.04076759,-2.286735168,0.453394977,-5.04358293,4.57E-07,1.95E-05
NDUFA6-DT,28.04035904,-1.995712016,0.395832483,-5.041809602,4.61E-07,1.96E-05
ZNF76,150.0586915,-1.705717143,0.338385565,-5.040750315,4.64E-07,1.97E-05
NEXMIF,537.3459424,1.32676085,0.263266387,5.039613537,4.66E-07,1.97E-05
TATDN2,66.16178699,-1.541830855,0.30613367,-5.036462853,4.74E-07,2.00E-05
ITGB4,613.8088785,-1.341590648,0.266383526,-5.036312365,4.75E-07,2.00E-05
OSBPL8,3689.337596,1.080163432,0.214579165,5.03386912,4.81E-07,2.02E-05
BCAT1,1238.027513,2.262034257,0.449647641,5.030681923,4.89E-07,2.05E-05
RNU7-80P,3.093954849,-4.083572847,0.811779851,-5.030394439,4.89E-07,2.05E-05
TAS1R3,5.306012928,-4.865967655,0.967751896,-5.028114824,4.95E-07,2.07E-05
TRPM6,1059.72606,-3.173529117,0.631653958,-5.024157728,5.06E-07,2.11E-05
TTC7A,193.8557063,-1.401407198,0.278975326,-5.023409117,5.08E-07,2.11E-05
TSPAN3,2868.241493,-1.357265568,0.270366528,-5.020094686,5.16E-07,2.14E-05
KRT39,2.983145387,-4.715732213,0.939980119,-5.016842504,5.25E-07,2.17E-05
NUP58,1785.720547,1.414809065,0.282031017,5.016501666,5.26E-07,2.17E-05
ZBTB32,5.390037103,-4.510871436,0.899272471,-5.016134245,5.27E-07,2.17E-05
MBNL2,9862.327124,1.097039517,0.218893211,5.011756692,5.39E-07,2.22E-05
DCST2,9.128638931,-3.112331966,0.621150204,-5.010594777,5.43E-07,2.23E-05
STRAP,1374.099673,1.225196133,0.244633013,5.008302521,5.49E-07,2.25E-05
PDPN,544.1218495,2.39048911,0.477749879,5.003641475,5.63E-07,2.31E-05
LINC00242,5.45577892,-3.972770208,0.794169043,-5.002423909,5.66E-07,2.31E-05
FDPSP3,3.57240585,-4.62530451,0.924636173,-5.002296734,5.67E-07,2.31E-05
DARS1,1482.947405,1.199402382,0.239920608,4.999163652,5.76E-07,2.35E-05
KITLG,2519.030105,1.333349466,0.266735083,4.998778004,5.77E-07,2.35E-05
JMY,2857.641248,1.159986997,0.232096365,4.997868007,5.80E-07,2.35E-05
CYP2D6,18.18637886,-4.036894951,0.807732739,-4.997810238,5.80E-07,2.35E-05
CC2D1A,128.338351,-1.519307506,0.304006779,-4.99761061,5.80E-07,2.35E-05
EID1,4299.374956,1.181440555,0.236447241,4.996634986,5.83E-07,2.36E-05
ITPKA,34.93212688,-2.933570509,0.587168547,-4.996130197,5.85E-07,2.36E-05
SLC52A1,15.27129154,-3.664765292,0.733585141,-4.995691822,5.86E-07,2.36E-05
WASF1,412.3899171,1.704284042,0.34129496,4.993581037,5.93E-07,2.38E-05
SPTBN5,8.999110073,-2.957079313,0.592341762,-4.992184414,5.97E-07,2.40E-05
ADAMTSL4-AS2,8.591181589,-4.392138822,0.880036913,-4.990857492,6.01E-07,2.41E-05
ARL13B,594.810841,1.198799756,0.240261038,4.989572039,6.05E-07,2.42E-05
RBM5-AS1,36.99704498,-2.508241105,0.502974802,-4.986812651,6.14E-07,2.45E-05
WDR88,22.90466564,-2.40470198,0.482364446,-4.985238858,6.19E-07,2.47E-05
H2BU1,30.02489571,3.762296547,0.754846174,4.98418973,6.22E-07,2.48E-05
ISL2,8.887175231,-3.103877844,0.622857765,-4.983285136,6.25E-07,2.49E-05
SIPA1L3,388.3747421,-2.165251464,0.434549045,-4.982755088,6.27E-07,2.49E-05
PLOD2,4620.604164,1.486616111,0.298368285,4.982487039,6.28E-07,2.49E-05
CYP2D8P,3.635379974,-4.994153299,1.002576157,-4.981320636,6.32E-07,2.50E-05
SCOC,1026.354395,1.137174207,0.228405159,4.978758847,6.40E-07,2.52E-05
MRPL27,113.2804445,-1.213523275,0.243766343,-4.978223243,6.42E-07,2.53E-05
RIT1,490.0396249,1.072321805,0.215506511,4.975820921,6.50E-07,2.55E-05
RNU1-2,11.65464448,4.17696143,0.839762481,4.973979575,6.56E-07,2.56E-05
KAZALD1,18.08209121,-3.410374861,0.685672908,-4.973763468,6.57E-07,2.56E-05
CELSR1,49.59097934,-2.339043103,0.470718683,-4.969089151,6.73E-07,2.61E-05
EGR3,344.1303856,-3.417043859,0.687794154,-4.968119949,6.76E-07,2.62E-05
EPAS1,3612.333374,1.127019276,0.22698235,4.965228683,6.86E-07,2.65E-05
POC1B-GALNT4,4.169845127,-4.525037578,0.911409429,-4.964879048,6.87E-07,2.65E-05
THUMPD3P1,7.368964076,-3.623470036,0.729834778,-4.964781273,6.88E-07,2.65E-05
SMIM2-IT1,2.737217028,-4.235098789,0.853248865,-4.963497709,6.92E-07,2.66E-05
RBM6,1067.028109,-1.124242491,0.226625463,-4.960795112,7.02E-07,2.69E-05
SNORA11,93.77352037,3.165404093,0.638184111,4.96001708,7.05E-07,2.70E-05
PPM1M,40.30166752,-1.85412553,0.374058562,-4.956778742,7.17E-07,2.73E-05
ZG16B,33.76062305,-4.180931089,0.843709962,-4.955412736,7.22E-07,2.75E-05
DANT2,403.7648246,-1.187263203,0.239613842,-4.954902401,7.24E-07,2.75E-05
ADGRE4P,18.09766785,-3.757285352,0.758520749,-4.953437804,7.29E-07,2.76E-05
SLC10A5P1,2.839890067,-4.29971996,0.869054827,-4.947581934,7.51E-07,2.84E-05
NEGR1,3444.484775,1.493637524,0.30204538,4.945076552,7.61E-07,2.88E-05
PRDX1,466.2890502,1.202569908,0.24327951,4.94316151,7.69E-07,2.90E-05
CCDC13-AS1,5.322642015,-3.904595652,0.790096837,-4.941920371,7.74E-07,2.91E-05
CBFB,725.1490634,1.00084542,0.202666044,4.938397188,7.88E-07,2.96E-05
RAB40C,100.9175089,-1.637851931,0.331768649,-4.93672906,7.94E-07,2.98E-05
SMIM32,11.06351502,-3.89663937,0.789442625,-4.93593739,7.98E-07,2.99E-05
STK24-AS1,4.726302513,-4.697638764,0.952033531,-4.934320703,8.04E-07,3.01E-05
